timestamp,relative_time,x,y,z,yaw,linear_x,linear_y,angular_z
1765241861.8904514,1.937321662902832,0.16650000959703481,7.019355874880145e-13,0.0,4.521036324228128e-12,0.19999999999916745,0.0,1.1796119636642288e-12
1765241861.9109464,1.9578166007995605,0.1705000095970377,7.200124642935767e-13,0.0,4.517393404928577e-12,0.2000000000001542,0.0,-1.9081958235744878e-13
1765241861.936035,1.9829051494598389,0.1745000095970406,7.380746826857667e-13,0.0,4.513577013281428e-12,0.20000000000015555,0.0,-2.0816681711721685e-13
1765241861.958221,2.0050911903381348,0.17850000959704176,7.56124133513165e-13,0.0,4.511842289805451e-12,0.19999999999996412,0.0,0.0
1765241861.97901,2.0258803367614746,0.18250000959703572,7.742000388735398e-13,0.0,4.520342434837737e-12,0.20000000000015555,0.0,-1.734723475976807e-13
1765241862.0023835,2.0492537021636963,0.1865000095970386,7.922740013436624e-13,0.0,4.516699515538186e-12,0.20000000000015555,0.0,-1.734723475976807e-13
1765241862.0222142,2.069084405899048,0.1905000095970406,8.103337737757472e-13,0.0,4.513750485629025e-12,0.20000000000005985,0.0,-1.214306433183765e-13
1765241862.0430522,2.0899224281311035,0.19450000959703512,8.284090025939688e-13,0.0,4.521383268923323e-12,0.20000000000015555,0.0,-1.734723475976807e-13
1765241862.066577,2.1134471893310547,0.198500009597038,8.464873018727813e-13,0.0,4.517740349623772e-12,0.20000000000015555,0.0,-1.734723475976807e-13
1765241862.087642,2.134512186050415,0.2025000095970394,8.645524692948728e-13,0.0,4.5156586814526e-12,0.19999999999998358,0.0,-3.469446951953614e-14
1765241862.1067557,2.153625965118408,0.20650000959703602,8.826382799263075e-13,0.0,4.520515907185335e-12,0.20000000000015555,0.0,-2.0816681711721685e-13
1765241862.1279697,2.174839973449707,0.21050000959703818,9.007139597726678e-13,0.0,4.517740349623772e-12,0.2000000000000779,0.0,-1.0408340855860843e-13
1765241862.1479824,2.194852590560913,0.21450000959703597,9.187990071257786e-13,0.0,4.52086285188053e-12,0.20000000000015694,0.0,-1.9081958235744878e-13
1765241862.173384,2.2202541828155518,0.21850000959703514,9.368829789503404e-13,0.0,4.521903685966116e-12,0.19999999999983503,0.0,2.2551405187698492e-13
1765241862.193634,2.240504264831543,0.22250000959703436,9.549717559589313e-13,0.0,4.522771047704105e-12,0.1999999999999932,0.0,1.734723475976807e-14
1765241862.215001,2.261871337890625,0.2265000095970341,9.73062545246757e-13,0.0,4.522597575356507e-12,0.1999999999999932,0.0,-1.734723475976807e-14
1765241862.2359045,2.2827746868133545,0.23050000959703382,9.911533345345827e-13,0.0,4.522771047704105e-12,0.1999999999999932,0.0,1.734723475976807e-14
1765241862.256905,2.3037753105163574,0.23450000959703354,1.0092441238224084e-12,0.0,4.522597575356507e-12,0.1999999999999932,0.0,-1.734723475976807e-14
1765241862.278753,2.3256232738494873,0.23850000959703327,1.0273349131102342e-12,0.0,4.522771047704105e-12,0.1999999999999932,0.0,1.734723475976807e-14
1765241862.3021507,2.3490209579467773,0.242500009597033,1.0454257023980599e-12,0.0,4.522597575356507e-12,0.1999999999999932,0.0,-1.734723475976807e-14
1765241862.3211868,2.3680570125579834,0.24650000959713395,1.0639253833568824e-12,0.0,5.021504047047437e-12,0.2000000000075927,0.0,1.8509499488672532e-11
1765241862.3413956,2.38826584815979,0.2505000095971338,1.0840113821978362e-12,0.0,5.021330574699839e-12,0.19999999999999324,0.0,-1.734723475976807e-14
1765241862.364561,2.411431312561035,0.25450000959713337,1.1040973983860248e-12,0.0,5.021330574699839e-12,0.19999999999999463,0.0,0.0
1765241862.3905172,2.437387466430664,0.25850000959722286,1.1234855700147264e-12,0.0,4.525199660570472e-12,0.200000000005901,0.0,-4.3576253716537394e-11
